	airport	animal	beach	bear	birds	boats	book	bridge	buildings	cars	castle	cat	cityscape	clouds	computer	coral	cow	dancing	dog	earthq	elk	fire	fish	flags	flowers	food	fox	frost	garden	glacier	grass	harbor	horses	house	lake	leaf	map	military	moon	mountain	nighttime	ocean	person	plane	plants	police	protest	railroad	rainbow	reflection	road	rocks	running	sand	sign	sky	snow	soccer	sports	statue	street	sun	sunset	surf	swimmers	tattoo	temple	tiger	tower	town	toy	train	tree	valley	vehicle	water	waterfall	wedding	whales	window	zebra
fox	0	314	1	2	3	1	0	0	6	0	0	5	1	11	0	0	0	0	11	0	2	0	0	0	8	0	0	2	6	0	109	0	2	3	4	6	0	0	0	1	0	2	21	0	20	0	0	0	0	4	4	6	1	1	0	17	18	0	3	1	0	1	0	0	0	0	1	1	1	0	1	0	3	0	0	7	0	0	0	2	1	
frost	0	99	0	4	8	1	0	6	22	2	0	2	0	156	0	2	1	0	4	0	16	0	1	0	18	3	2	0	3	10	29	0	6	18	29	18	0	2	0	22	0	9	23	0	86	0	0	3	0	18	23	21	1	3	1	248	337	0	1	1	3	13	11	1	0	0	0	0	1	0	3	3	136	13	4	82	0	0	0	36	0	
garden	0	70	3	0	9	8	0	42	247	2	22	4	8	342	0	3	3	1	10	0	1	1	7	1	317	1	6	3	0	0	935	0	6	239	110	38	0	3	1	51	14	6	71	1	557	2	0	4	3	143	69	44	0	4	0	633	13	1	2	14	7	12	26	1	0	2	33	0	14	40	3	2	204	44	13	270	5	5	0	151	0	
glacier	0	6	2	1	0	1	0	0	1	0	0	0	0	148	0	0	0	0	0	0	0	0	0	1	1	0	0	10	0	0	16	0	0	1	81	1	0	0	0	162	0	24	7	0	10	1	0	0	0	34	4	115	0	1	1	204	144	0	1	0	0	2	10	0	1	0	0	0	0	0	2	0	7	117	1	110	0	0	0	1	0	
grass	71	3245	96	115	142	47	1	98	795	71	60	118	25	4385	1	13	253	26	242	1	239	16	13	11	480	9	109	29	935	16	0	0	365	888	612	103	0	127	16	690	37	200	1398	105	2573	31	8	76	59	497	679	480	67	145	41	5917	89	58	221	31	20	153	347	4	0	6	53	48	72	62	40	43	887	724	332	1407	31	69	1	560	28	
harbor	0	2	8	0	0	196	0	12	91	0	0	0	29	194	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	9	119	0	0	4	1	7	32	55	4	0	2	0	0	0	1	129	4	2	0	1	0	257	1	0	0	0	4	14	57	0	0	0	0	0	5	25	0	0	2	3	46	264	0	0	0	25	0	
horses	0	877	6	0	0	0	0	0	14	1	2	4	0	156	1	0	11	0	1	0	1	1	0	0	4	0	2	6	6	0	365	0	0	8	7	1	0	4	1	16	2	7	196	0	38	16	1	0	0	3	14	6	32	22	0	293	27	0	20	1	2	11	21	0	0	0	1	0	0	1	2	0	8	8	1	32	0	1	0	15	5	
house	1	37	27	0	1	71	0	16	1011	11	11	1	5	1110	0	1	3	0	5	2	0	6	0	0	31	0	3	18	239	1	888	9	8	0	183	4	0	6	7	121	19	71	53	2	300	4	0	6	5	185	120	74	0	25	3	1592	117	0	4	5	33	16	64	0	0	0	8	0	19	148	4	6	98	97	73	408	2	1	0	694	0	
lake	2	329	1067	4	80	837	0	238	632	4	16	2	128	5099	0	57	9	4	26	0	9	24	16	1	26	0	4	29	110	81	612	119	7	183	0	7	0	57	36	717	173	2753	400	18	433	4	0	6	29	2294	127	881	1	92	4	6136	288	0	24	3	5	605	1572	37	16	1	32	7	75	96	15	3	243	591	224	6769	48	15	63	132	0	
leaf	0	227	6	14	27	4	0	2	6	0	0	12	0	38	0	5	4	1	8	0	7	0	1	0	267	15	6	18	38	1	103	0	1	4	7	0	0	1	0	3	2	7	29	0	306	0	0	0	0	8	11	11	0	2	0	85	4	0	0	4	2	5	4	0	0	0	2	8	0	1	9	0	19	1	0	90	3	2	0	7	0	
map	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
military	144	8	7	0	0	33	1	4	48	7	4	2	3	695	0	0	0	0	0	0	0	21	0	3	0	0	0	2	3	0	127	4	4	6	57	1	0	0	5	13	6	119	614	525	10	69	6	0	3	9	106	9	3	12	1	944	15	0	2	0	2	7	20	0	1	2	1	0	0	3	5	2	5	8	249	207	0	5	0	141	2	
moon	1	22	9	0	7	3	0	11	56	0	1	0	21	255	0	0	0	1	1	0	1	5	0	0	3	0	0	0	1	0	16	1	1	7	36	0	0	5	0	15	79	33	8	16	7	0	0	1	0	20	9	4	0	3	2	415	11	0	0	2	1	62	42	0	0	0	4	0	14	5	1	1	20	14	1	74	0	0	0	14	0	
mountain	3	119	92	1	3	54	0	22	132	6	4	0	10	1945	1	1	13	1	6	0	7	8	0	2	25	0	1	22	51	162	690	7	16	121	717	3	0	13	15	0	19	291	76	9	398	3	0	9	22	345	111	891	0	41	6	2472	601	0	4	4	3	73	181	0	0	0	10	0	11	11	3	5	91	1310	21	993	32	2	4	34	0	
nighttime	6	28	25	0	2	72	0	144	939	24	3	3	406	706	1	5	1	2	1	0	0	65	2	1	8	0	0	0	14	0	37	32	2	19	173	2	0	6	79	19	0	59	137	4	26	19	1	12	0	279	315	18	1	3	23	1049	26	0	9	4	122	18	95	1	0	2	16	0	163	92	1	16	21	8	64	514	0	1	1	168	0	
ocean	5	645	1586	9	78	702	0	128	218	5	7	6	31	4173	0	272	4	7	21	0	0	15	211	5	16	1	2	9	6	24	200	55	7	71	2753	7	1	119	33	291	59	0	593	30	101	6	0	3	14	456	89	685	7	177	4	4863	149	0	65	13	4	540	1231	89	44	1	14	1	37	14	14	5	81	202	223	5553	3	18	112	69	0	
person	23	794	450	16	22	110	10	39	708	123	7	35	30	1917	74	29	14	393	112	15	6	123	31	41	63	46	21	23	71	7	1398	4	196	53	400	29	0	614	8	76	137	593	0	84	146	521	379	34	7	144	1149	107	129	143	25	3443	184	74	725	41	495	131	257	46	176	161	104	13	24	131	90	32	71	52	464	1781	8	476	6	1084	9	
plane	395	4	7	1	1	3	0	2	30	1	2	1	2	890	1	0	0	0	0	0	0	19	0	0	0	0	0	0	1	0	105	0	0	2	18	0	0	525	16	9	4	30	84	0	5	1	0	1	2	5	118	6	0	5	3	1087	16	0	0	0	0	28	67	0	0	0	0	0	3	0	5	2	4	8	251	56	0	0	1	148	1	
plants	3	431	59	10	30	25	0	41	264	17	18	11	9	2009	1	15	16	2	15	0	36	12	4	0	2529	75	20	86	557	10	2573	2	38	300	433	306	0	10	7	398	26	101	146	5	0	6	0	27	34	367	275	256	3	47	9	2958	207	1	8	10	14	138	267	2	0	4	30	6	20	23	13	15	966	383	48	1078	50	18	1	187	0	
police	3	20	0	0	0	7	0	2	73	33	1	0	1	50	0	0	1	1	1	1	1	9	0	0	0	0	0	0	2	1	31	0	16	4	4	0	0	69	0	3	19	6	521	1	6	0	22	1	0	2	180	1	1	0	9	130	3	0	3	0	41	2	2	0	0	0	0	0	0	12	4	0	3	4	126	17	0	0	0	158	0	
protest	0	1	0	0	0	0	0	1	44	0	1	0	0	19	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	8	0	1	0	0	0	0	6	0	0	1	0	379	0	0	22	0	0	0	0	41	0	0	0	6	70	0	0	0	0	16	0	0	0	0	0	0	0	0	6	0	0	2	0	14	2	0	0	0	19	0	
railroad	0	1	0	0	0	1	0	49	35	44	0	0	5	189	0	0	0	0	1	0	0	2	0	0	1	0	0	3	4	0	76	0	0	6	6	0	0	0	1	9	12	3	34	1	27	1	0	0	0	5	35	12	0	1	2	317	29	0	0	0	1	7	10	0	0	0	0	0	2	5	1	234	8	3	78	21	0	1	0	82	0	
rainbow	2	5	8	0	0	2	0	0	28	0	0	0	3	176	0	0	0	0	0	0	0	2	0	0	1	0	0	0	3	0	59	1	0	5	29	0	0	3	0	22	0	14	7	2	34	0	0	0	0	5	9	9	1	1	1	216	2	0	1	1	0	1	5	0	0	1	0	0	0	2	0	0	5	19	1	62	7	0	0	9	0	
reflection	1	194	264	3	49	558	0	215	769	2	25	3	199	2414	0	8	12	0	13	0	5	16	4	0	48	1	4	18	143	34	497	129	3	185	2294	8	0	9	20	345	279	456	144	5	367	2	0	5	5	0	98	321	0	17	1	3187	116	0	2	5	15	234	721	0	0	0	50	5	64	121	10	2	220	277	118	3913	1	11	0	188	0	
road	125	225	41	9	16	14	0	117	796	298	5	11	121	1526	3	5	4	5	23	0	4	29	5	6	29	1	4	23	69	4	679	4	14	120	127	11	0	106	9	111	315	89	1149	118	275	180	41	35	9	98	0	82	18	45	38	2109	159	1	30	5	444	52	127	1	0	1	14	2	39	175	25	31	167	94	851	361	2	13	0	928	4	
rocks	1	173	439	6	20	53	0	39	112	1	19	0	4	1774	0	18	4	2	3	2	4	4	7	1	19	3	6	21	44	115	480	2	6	74	881	11	0	9	4	891	18	685	107	6	256	1	0	12	9	321	82	0	0	84	4	2372	352	1	14	13	0	65	224	2	1	1	29	5	18	6	3	7	74	710	16	1855	140	3	1	31	0	
running	0	118	14	0	1	0	0	1	4	0	0	2	0	15	0	1	1	1	43	0	3	0	0	0	1	0	1	1	0	0	67	0	32	0	1	0	0	3	0	0	1	7	129	0	3	1	0	0	1	0	18	0	0	5	0	39	9	7	39	2	3	2	0	0	2	0	0	0	0	1	2	0	2	1	1	22	0	0	0	4	1	
sand	2	222	276	2	6	21	0	3	22	8	4	1	1	581	1	5	8	3	7	1	2	2	2	1	0	0	1	3	4	1	145	1	22	25	92	2	0	12	3	41	3	177	143	5	47	0	0	1	1	17	45	84	5	0	3	701	26	0	15	1	1	27	64	0	2	0	3	1	1	1	4	4	33	41	13	255	0	4	0	11	3	
sign	0	6	4	0	0	1	0	1	77	3	0	0	0	145	0	0	0	0	0	0	1	0	0	2	0	0	0	1	0	1	41	0	0	3	4	0	0	1	2	6	23	4	25	3	9	9	6	2	1	1	38	4	0	3	0	238	6	0	0	0	10	1	3	0	0	0	0	0	5	7	2	0	0	4	10	12	0	1	0	43	0	
sky	368	2453	2328	21	483	1706	3	798	6269	264	234	45	846	27110	8	82	184	39	124	16	57	241	36	81	530	13	17	248	633	204	5917	257	293	1592	6136	85	0	944	415	2472	1049	4863	3443	1087	2958	130	70	317	216	3187	2109	2372	39	701	238	0	1671	11	203	159	418	1895	4475	21	57	7	482	16	1183	718	127	269	1834	1910	1456	11769	40	130	51	2983	7	
snow	7	400	38	24	21	25	0	22	207	25	3	8	12	1200	0	0	8	1	43	1	49	1	2	3	10	1	18	337	13	144	89	1	27	117	288	4	0	15	11	601	26	149	184	16	207	3	0	29	2	116	159	352	9	26	6	1671	0	0	17	6	23	70	93	0	3	0	7	4	17	24	20	21	293	338	55	514	5	5	1	180	1	
soccer	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	58	0	0	0	0	0	0	0	0	0	0	0	74	0	1	0	0	0	0	0	1	1	7	0	0	11	0	0	43	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	
sports	0	28	21	0	1	5	0	0	7	12	1	0	0	126	0	1	0	30	0	0	0	2	1	1	1	0	3	1	2	1	221	0	20	4	24	0	0	2	0	4	9	65	725	0	8	3	0	0	1	2	30	14	39	15	0	203	17	43	0	0	3	2	6	38	35	0	0	0	2	1	6	0	8	6	18	192	0	3	0	9	2	
statue	0	13	4	0	2	0	0	1	46	0	1	1	5	115	0	1	0	1	0	0	0	0	1	0	2	1	1	1	14	0	31	0	1	5	3	4	0	0	2	4	4	13	41	0	10	0	0	0	1	5	5	13	2	1	0	159	6	0	0	0	2	5	11	0	0	0	37	0	6	5	13	0	3	1	2	29	0	5	0	21	0	
street	0	14	0	0	0	6	0	7	558	59	1	3	54	205	0	0	0	2	6	0	0	6	0	4	2	0	0	3	7	0	20	4	2	33	5	2	0	2	1	3	122	4	495	0	14	41	16	1	0	15	444	0	3	1	10	418	23	0	3	2	0	6	17	0	0	1	3	0	7	224	1	7	11	0	78	38	0	4	0	452	0	
sun	4	78	207	0	11	92	0	43	71	3	1	0	10	1631	0	3	1	6	2	1	0	21	1	1	21	1	1	13	12	2	153	14	11	16	605	5	0	7	62	73	18	540	131	28	138	2	0	7	1	234	52	65	2	27	1	1895	70	0	2	5	6	0	1259	1	0	0	15	1	28	4	3	4	149	42	22	890	0	7	1	11	0	
sunset	18	194	519	0	35	269	0	103	333	13	6	0	88	3950	0	12	9	8	4	0	4	40	1	4	18	0	0	11	26	10	347	57	21	64	1572	4	0	20	42	181	95	1231	257	67	267	2	0	10	5	721	127	224	0	64	3	4475	93	0	6	11	17	1259	0	2	1	0	34	1	75	36	13	6	266	112	74	2289	1	25	1	58	1	
surf	0	3	5	0	0	2	0	0	0	0	0	0	0	15	0	4	0	0	0	0	0	0	0	0	0	0	0	1	1	0	4	0	0	0	37	0	0	0	0	0	1	89	46	0	2	0	0	0	0	0	1	2	0	0	0	21	0	0	38	0	0	1	2	0	1	0	0	0	0	0	0	1	1	2	1	117	1	0	0	0	0	
swimmers	0	7	17	0	0	0	0	0	1	0	0	0	0	32	0	20	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	16	0	0	1	0	0	0	44	176	0	0	0	0	0	0	0	0	1	2	2	0	57	3	0	35	0	0	0	1	1	0	1	0	0	1	0	2	0	0	1	0	213	0	0	0	3	0	
tattoo	0	1	3	0	0	0	0	0	1	1	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	6	0	0	0	1	0	0	2	0	0	2	1	161	0	4	0	0	0	1	0	1	1	0	0	0	7	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	4	0	0	8	0	2	0	2	0	
temple	0	5	4	0	0	2	0	0	285	1	17	2	9	347	0	0	0	0	1	0	0	1	0	0	2	0	1	0	33	0	53	0	1	8	32	2	0	1	4	10	16	14	104	0	30	0	0	0	0	50	14	29	0	3	0	482	7	0	0	37	3	15	34	0	0	0	0	0	36	9	8	0	15	5	1	75	0	1	0	73	0	
tiger	0	406	0	0	0	0	0	0	0	0	0	22	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	48	0	0	0	7	8	0	0	0	0	0	1	13	0	6	0	0	0	0	5	2	5	0	1	0	16	4	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	34	0	1	0	1	0	
tower	4	0	15	0	0	21	1	44	632	5	29	0	168	906	0	1	0	0	0	0	0	8	0	2	4	0	1	1	14	0	72	5	0	19	75	0	0	0	14	11	163	37	24	3	20	0	0	2	0	64	39	18	0	1	5	1183	17	0	2	6	7	28	75	0	1	1	36	0	0	39	2	3	11	8	8	169	0	2	0	130	0	
town	0	9	6	0	1	76	0	30	873	27	8	4	99	413	0	0	0	0	0	1	0	4	0	2	11	0	0	0	40	0	62	25	1	148	96	1	0	3	5	11	92	14	131	0	23	12	6	5	2	121	175	6	1	1	7	718	24	0	1	5	224	4	36	0	0	0	9	0	39	0	3	4	14	7	71	250	2	0	0	620	1	
toy	0	53	3	20	5	7	6	2	20	16	0	7	0	79	2	0	0	1	21	0	0	5	1	1	7	28	1	3	3	2	40	0	2	4	15	9	1	5	1	3	1	14	90	5	13	4	0	1	0	10	25	3	2	4	2	127	20	1	6	13	1	3	13	0	2	0	8	0	2	3	0	6	4	3	15	47	0	6	0	32	1	
train	0	0	0	0	0	3	0	22	24	63	1	0	3	176	0	0	0	0	0	0	0	0	0	0	1	0	0	3	2	0	43	0	0	6	3	0	0	2	1	5	16	5	32	2	15	0	0	234	0	2	31	7	0	4	0	269	21	0	0	0	7	4	6	1	0	0	0	0	3	4	6	0	5	2	126	15	0	0	0	121	0	
tree	0	80	41	0	3	13	0	15	121	3	8	1	7	1207	0	2	10	0	2	0	2	6	1	0	59	0	3	136	204	7	887	2	8	98	243	19	0	5	20	91	21	81	71	4	966	3	2	8	5	220	167	74	2	33	0	1834	293	1	8	3	11	149	266	1	0	4	15	1	11	14	4	5	0	69	17	508	6	8	0	64	0	
valley	3	81	72	0	3	42	0	13	97	4	3	0	5	1521	0	5	15	2	0	0	4	4	0	1	23	0	0	13	44	117	724	3	8	97	591	1	0	8	14	1310	8	202	52	8	383	4	0	3	19	277	94	710	1	41	4	1910	338	0	6	1	0	42	112	2	1	0	5	0	8	7	3	2	69	0	15	782	19	5	0	17	0	
vehicle	182	21	32	1	1	375	0	25	338	405	3	1	21	1046	0	0	0	1	7	0	1	8	0	3	5	0	0	4	13	1	332	46	1	73	224	0	0	249	1	21	64	223	464	251	48	126	14	78	1	118	851	16	1	13	10	1456	55	0	18	2	78	22	74	1	0	0	1	1	8	71	15	126	17	15	0	627	0	5	0	1150	4	
water	15	2117	2271	116	318	1858	0	617	1682	19	42	24	356	9387	0	554	23	14	99	0	26	60	561	8	215	32	7	82	270	110	1407	264	32	408	6769	90	0	207	74	993	514	5553	1781	56	1078	17	2	21	62	3913	361	1855	22	255	12	11769	514	0	192	29	38	890	2289	117	213	8	75	34	169	250	47	15	508	782	627	0	283	51	213	529	4	
waterfall	0	2	1	0	0	0	0	3	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	0	31	0	0	2	48	3	0	0	0	32	0	3	8	0	50	0	0	0	7	1	2	140	0	0	0	40	5	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	6	19	0	283	0	0	0	1	0	
wedding	0	18	25	1	1	4	0	3	16	3	1	0	2	113	0	0	0	11	5	0	0	4	0	0	20	6	0	0	5	0	69	0	1	1	15	2	0	5	0	2	1	18	476	0	18	0	0	1	0	11	13	3	0	4	1	130	5	0	3	5	4	7	25	0	0	2	1	1	2	0	6	0	8	5	5	51	0	0	0	24	0	
whales	0	213	0	0	0	3	0	0	0	0	0	0	0	29	0	19	0	0	0	0	0	0	33	0	0	0	0	0	0	0	1	0	0	0	63	0	0	0	0	4	1	112	6	1	1	0	0	0	0	0	0	1	0	0	0	51	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	213	0	0	0	0	0	
window	93	118	14	0	6	198	4	44	2668	392	68	35	66	1745	16	2	0	5	24	5	0	21	3	17	66	1	2	36	151	1	560	25	15	694	132	7	0	141	14	34	168	69	1084	148	187	158	19	82	9	188	928	31	4	11	43	2983	180	1	9	21	452	11	58	0	3	2	73	1	130	620	32	121	64	17	1150	529	1	24	0	0	6	
