	airport	animal	beach	bear	birds	boats	book	bridge	buildings	cars	castle	cat	cityscape	clouds	computer	coral	cow	dancing	dog	earthq	elk	fire	fish	flags	flowers	food	fox	frost	garden	glacier	grass	harbor	horses	house	lake	leaf	map	military	moon	mountain	nighttime	ocean	person	plane	plants	police	protest	railroad	rainbow	reflection	road	rocks	running	sand	sign	sky	snow	soccer	sports	statue	street	sun	sunset	surf	swimmers	tattoo	temple	tiger	tower	town	toy	train	tree	valley	vehicle	water	waterfall	wedding	whales	window	zebra
castle	1.00	0.93	0.93	1.00	0.95	1.00	1.00	0.89	0.57	1.00	1.00	1.00	0.92	0.60	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.95	1.00	1.00	1.00	0.81	1.00	0.75	1.00	0.94	0.87	0.86	1.00	1.00	0.92	0.95	0.93	0.93	0.91	0.92	0.94	0.86	0.95	0.95	1.00	1.00	0.82	0.92	0.84	1.00	0.92	1.00	0.53	0.94	1.00	0.96	0.95	0.96	0.96	0.91	1.00	1.00	1.00	0.82	1.00	0.78	0.88	1.00	0.95	0.90	0.93	0.94	0.80	1.00	0.95	1.00	0.72	1.00	
cat	1.00	0.40	0.97	0.96	0.97	1.00	1.00	1.00	0.95	1.00	1.00	1.00	1.00	0.92	0.89	1.00	1.00	0.97	0.89	1.00	1.00	1.00	0.97	1.00	0.94	0.97	0.91	0.95	0.95	1.00	0.81	1.00	0.94	0.98	0.97	0.90	1.00	0.97	1.00	1.00	0.96	0.95	0.90	0.97	0.94	1.00	1.00	1.00	1.00	0.96	0.93	1.00	0.94	0.97	1.00	0.90	0.94	1.00	1.00	0.97	0.95	1.00	1.00	1.00	1.00	1.00	0.96	0.82	1.00	0.95	0.93	1.00	0.98	1.00	0.98	0.92	1.00	1.00	1.00	0.89	0.93	
cityscape	1.00	0.98	0.94	1.00	1.00	0.81	0.95	0.74	0.41	0.94	0.92	1.00	1.00	0.57	1.00	0.96	1.00	1.00	1.00	1.00	1.00	0.92	1.00	1.00	1.00	1.00	0.96	1.00	0.93	1.00	0.91	0.77	1.00	0.95	0.78	1.00	1.00	0.96	0.84	0.93	0.52	0.89	0.91	0.96	0.94	0.97	1.00	0.92	0.92	0.70	0.78	0.96	1.00	0.97	1.00	0.53	0.92	1.00	1.00	0.92	0.80	0.92	0.80	1.00	1.00	1.00	0.91	1.00	0.66	0.73	1.00	0.94	0.94	0.95	0.90	0.67	1.00	0.96	1.00	0.85	1.00	
clouds	0.56	0.75	0.48	0.92	0.75	0.54	0.96	0.59	0.50	0.75	0.60	0.92	0.57	1.00	0.95	0.86	0.69	0.89	0.87	0.76	0.85	0.69	0.93	0.74	0.82	0.96	0.91	0.73	0.73	0.62	0.53	0.57	0.77	0.56	0.40	0.89	1.00	0.63	0.62	0.48	0.65	0.43	0.75	0.54	0.63	0.86	0.89	0.68	0.55	0.51	0.63	0.54	0.87	0.59	0.77	0.15	0.60	0.88	0.80	0.75	0.78	0.45	0.38	0.82	0.82	0.93	0.66	0.96	0.54	0.67	0.87	0.68	0.60	0.48	0.64	0.40	0.89	0.78	0.81	0.66	0.92	
computer	1.00	0.89	1.00	1.00	1.00	1.00	0.89	1.00	0.95	1.00	1.00	0.89	1.00	0.95	1.00	1.00	1.00	1.00	0.94	1.00	1.00	1.00	1.00	1.00	0.95	1.00	1.00	1.00	1.00	1.00	0.97	1.00	0.96	1.00	1.00	1.00	1.00	1.00	1.00	0.96	0.96	1.00	0.74	0.96	0.97	1.00	1.00	1.00	1.00	1.00	0.94	1.00	1.00	0.96	1.00	0.92	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.94	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.87	1.00	
coral	1.00	0.53	0.87	0.97	0.96	0.94	1.00	0.97	0.95	1.00	1.00	1.00	0.96	0.86	1.00	1.00	1.00	1.00	0.97	1.00	0.96	1.00	0.31	1.00	0.87	0.97	1.00	0.95	0.95	1.00	0.93	1.00	1.00	0.97	0.84	0.93	1.00	1.00	1.00	0.98	0.94	0.64	0.90	1.00	0.92	1.00	1.00	1.00	1.00	0.93	0.95	0.90	0.95	0.93	1.00	0.83	1.00	1.00	0.97	0.96	1.00	0.95	0.92	0.88	0.80	1.00	1.00	1.00	0.97	1.00	1.00	1.00	0.97	0.94	1.00	0.55	1.00	1.00	0.79	0.97	1.00	
cow	1.00	0.44	0.94	1.00	1.00	1.00	1.00	1.00	0.96	1.00	1.00	1.00	1.00	0.69	1.00	1.00	1.00	1.00	0.91	1.00	0.85	0.96	1.00	1.00	0.93	1.00	1.00	0.96	0.94	1.00	0.57	1.00	0.87	0.94	0.91	0.92	1.00	1.00	1.00	0.88	0.97	0.94	0.90	1.00	0.89	0.96	1.00	1.00	1.00	0.90	0.94	0.94	0.95	0.89	1.00	0.66	0.91	1.00	1.00	1.00	1.00	0.97	0.91	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.90	0.87	1.00	0.87	1.00	1.00	1.00	1.00	1.00	
dancing	1.00	0.95	0.94	1.00	0.97	1.00	1.00	1.00	0.95	1.00	1.00	0.97	1.00	0.89	1.00	1.00	1.00	1.00	0.97	1.00	1.00	0.87	1.00	1.00	1.00	1.00	1.00	1.00	0.97	1.00	0.87	1.00	1.00	1.00	0.95	0.96	1.00	1.00	0.96	0.97	0.95	0.93	0.51	1.00	0.96	0.96	1.00	1.00	1.00	1.00	0.94	0.96	0.95	0.94	1.00	0.85	0.97	1.00	0.80	0.96	0.95	0.92	0.92	1.00	1.00	0.95	1.00	1.00	1.00	1.00	0.97	1.00	1.00	0.95	0.97	0.91	1.00	0.87	1.00	0.94	1.00	
dog	1.00	0.40	0.85	0.95	0.98	0.97	0.95	1.00	0.94	0.93	1.00	0.89	1.00	0.87	0.94	0.97	0.91	0.97	1.00	1.00	0.96	0.97	0.97	0.93	0.93	1.00	0.87	0.94	0.92	1.00	0.73	1.00	0.97	0.95	0.91	0.92	1.00	1.00	0.97	0.95	0.98	0.91	0.83	1.00	0.93	0.97	1.00	0.97	1.00	0.93	0.91	0.96	0.71	0.93	1.00	0.83	0.86	1.00	1.00	1.00	0.94	0.97	0.96	1.00	1.00	1.00	0.97	0.96	1.00	1.00	0.88	1.00	0.97	1.00	0.94	0.84	1.00	0.93	1.00	0.91	1.00	
earthq	1.00	0.92	1.00	1.00	1.00	1.00	1.00	1.00	0.84	1.00	1.00	1.00	1.00	0.76	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.92	1.00	1.00	0.88	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.69	1.00	1.00	0.91	1.00	1.00	1.00	1.00	1.00	0.88	1.00	0.91	1.00	0.68	0.91	1.00	1.00	1.00	1.00	0.91	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.91	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.82	1.00	
elk	1.00	0.43	1.00	0.93	1.00	1.00	1.00	1.00	0.96	0.96	1.00	1.00	1.00	0.85	1.00	0.96	0.85	1.00	0.96	1.00	1.00	0.94	1.00	1.00	1.00	1.00	0.93	0.84	0.97	1.00	0.59	1.00	0.96	1.00	0.92	0.90	1.00	1.00	0.96	0.92	1.00	1.00	0.94	1.00	0.84	0.96	1.00	1.00	1.00	0.93	0.94	0.94	0.91	0.95	0.96	0.82	0.78	1.00	1.00	1.00	1.00	1.00	0.94	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.96	0.93	0.97	0.87	1.00	1.00	1.00	1.00	1.00	
fire	0.96	0.94	0.93	1.00	0.97	1.00	1.00	0.93	0.86	0.94	1.00	1.00	0.92	0.69	1.00	1.00	0.96	0.87	0.97	1.00	0.94	1.00	1.00	1.00	0.97	0.95	1.00	1.00	0.97	1.00	0.90	1.00	0.96	0.93	0.88	1.00	1.00	0.86	0.91	0.92	0.76	0.90	0.75	0.86	0.91	0.89	1.00	0.94	0.93	0.89	0.86	0.94	1.00	0.95	1.00	0.66	0.97	1.00	0.95	1.00	0.92	0.86	0.83	1.00	1.00	1.00	0.96	1.00	0.91	0.93	0.93	1.00	0.93	0.94	0.92	0.82	1.00	0.93	1.00	0.89	1.00	
fish	1.00	0.45	0.94	0.95	0.91	0.96	1.00	1.00	1.00	1.00	1.00	0.97	1.00	0.93	1.00	0.31	1.00	1.00	0.97	1.00	1.00	1.00	1.00	1.00	0.93	0.95	1.00	0.97	0.93	1.00	0.93	1.00	1.00	1.00	0.92	0.97	1.00	1.00	1.00	1.00	0.96	0.68	0.90	1.00	0.96	1.00	1.00	1.00	1.00	0.95	0.95	0.94	1.00	0.96	1.00	0.89	0.97	1.00	0.97	0.96	1.00	0.97	0.98	1.00	0.90	1.00	1.00	1.00	1.00	1.00	0.97	1.00	0.98	1.00	1.00	0.55	1.00	1.00	0.73	0.96	1.00	
flags	1.00	0.93	1.00	1.00	1.00	0.92	1.00	0.95	0.81	0.95	1.00	1.00	1.00	0.74	1.00	1.00	1.00	1.00	0.93	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.95	0.94	0.87	0.94	1.00	1.00	0.96	1.00	1.00	0.92	1.00	0.94	0.96	0.91	0.76	1.00	1.00	1.00	0.79	1.00	1.00	1.00	0.90	0.96	1.00	0.95	0.93	0.67	0.93	1.00	0.95	1.00	0.91	0.96	0.92	1.00	1.00	1.00	1.00	1.00	0.93	0.93	0.95	1.00	1.00	0.96	0.93	0.89	1.00	1.00	1.00	0.84	1.00	
flowers	1.00	0.79	0.96	0.96	0.91	0.98	0.96	0.94	0.92	1.00	0.95	0.94	1.00	0.82	0.95	0.87	0.93	1.00	0.93	1.00	1.00	0.97	0.93	1.00	1.00	0.94	0.91	0.89	0.66	0.96	0.75	1.00	0.96	0.90	0.94	0.64	1.00	1.00	0.95	0.92	0.95	0.95	0.92	1.00	0.38	1.00	1.00	0.97	0.96	0.90	0.93	0.93	0.96	1.00	1.00	0.79	0.95	1.00	0.98	0.96	0.97	0.92	0.94	1.00	1.00	1.00	0.97	1.00	0.96	0.93	0.95	0.97	0.88	0.92	0.97	0.85	0.97	0.89	1.00	0.90	1.00	
food	1.00	0.94	1.00	0.95	0.98	1.00	1.00	1.00	1.00	1.00	1.00	0.97	1.00	0.96	1.00	0.97	1.00	1.00	1.00	1.00	1.00	0.95	0.95	1.00	0.94	1.00	1.00	0.95	0.98	1.00	0.95	1.00	1.00	1.00	1.00	0.89	1.00	1.00	1.00	1.00	1.00	0.98	0.89	1.00	0.84	1.00	1.00	1.00	1.00	0.98	0.98	0.96	1.00	1.00	1.00	0.95	0.98	1.00	1.00	0.97	1.00	0.98	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.87	1.00	1.00	1.00	1.00	0.91	1.00	0.93	1.00	0.98	1.00	
fox	1.00	0.49	0.97	0.94	0.94	0.96	1.00	1.00	0.93	1.00	1.00	0.91	0.96	0.91	1.00	1.00	1.00	1.00	0.87	1.00	0.93	1.00	1.00	1.00	0.91	1.00	1.00	0.94	0.91	1.00	0.69	1.00	0.94	0.94	0.94	0.90	1.00	1.00	1.00	0.97	1.00	0.96	0.87	1.00	0.86	1.00	1.00	1.00	1.00	0.94	0.94	0.92	0.94	0.96	1.00	0.89	0.86	1.00	0.93	0.95	1.00	0.96	1.00	1.00	1.00	1.00	0.96	0.95	0.96	1.00	0.96	1.00	0.94	1.00	1.00	0.92	1.00	1.00	1.00	0.96	0.94	
frost	1.00	0.78	1.00	0.93	0.92	0.97	1.00	0.92	0.89	0.95	1.00	0.95	1.00	0.73	1.00	0.95	0.96	1.00	0.94	1.00	0.84	1.00	0.97	1.00	0.89	0.95	0.94	1.00	0.95	0.85	0.87	1.00	0.92	0.88	0.87	0.86	1.00	0.96	1.00	0.87	1.00	0.93	0.90	1.00	0.77	1.00	1.00	0.93	1.00	0.89	0.88	0.88	0.95	0.94	0.96	0.66	0.49	1.00	0.97	0.96	0.95	0.89	0.91	0.94	1.00	1.00	1.00	1.00	0.97	1.00	0.95	0.93	0.68	0.89	0.95	0.80	1.00	1.00	1.00	0.85	1.00	
garden	1.00	0.87	0.96	1.00	0.93	0.94	1.00	0.84	0.74	0.96	0.81	0.95	0.93	0.73	1.00	0.95	0.94	0.97	0.92	1.00	0.97	0.97	0.93	0.95	0.66	0.98	0.91	0.95	1.00	1.00	0.50	1.00	0.93	0.66	0.82	0.83	1.00	0.96	0.97	0.85	0.92	0.96	0.88	0.98	0.59	0.96	1.00	0.94	0.92	0.77	0.85	0.87	1.00	0.95	1.00	0.64	0.93	0.94	0.96	0.88	0.93	0.92	0.90	0.94	1.00	0.94	0.84	1.00	0.91	0.84	0.96	0.95	0.70	0.85	0.93	0.75	0.91	0.93	1.00	0.79	1.00	
glacier	1.00	0.92	0.95	0.95	1.00	0.96	1.00	1.00	0.97	1.00	1.00	1.00	1.00	0.62	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.94	0.96	1.00	1.00	0.85	1.00	1.00	0.87	1.00	1.00	0.96	0.69	0.96	1.00	1.00	1.00	0.52	1.00	0.83	0.92	1.00	0.89	0.95	1.00	1.00	1.00	0.79	0.93	0.60	1.00	0.96	0.95	0.55	0.55	1.00	0.96	1.00	1.00	0.94	0.89	1.00	0.94	1.00	1.00	1.00	1.00	1.00	0.94	1.00	0.90	0.57	0.96	0.66	1.00	1.00	1.00	0.97	1.00	
grass	0.78	0.56	0.87	0.76	0.82	0.90	0.96	0.82	0.74	0.83	0.75	0.81	0.91	0.53	0.97	0.93	0.57	0.87	0.73	0.92	0.59	0.90	0.93	0.87	0.75	0.95	0.69	0.87	0.50	0.87	1.00	1.00	0.62	0.56	0.76	0.80	1.00	0.82	0.90	0.65	0.91	0.85	0.73	0.83	0.51	0.88	0.92	0.78	0.73	0.74	0.72	0.73	0.71	0.78	0.87	0.49	0.88	0.57	0.71	0.86	0.92	0.81	0.79	0.90	1.00	0.91	0.85	0.80	0.86	0.86	0.90	0.83	0.61	0.60	0.77	0.71	0.83	0.82	0.96	0.77	0.79	
harbor	1.00	0.96	0.90	1.00	1.00	0.47	1.00	0.86	0.69	1.00	1.00	1.00	0.77	0.57	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.94	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.88	0.63	1.00	1.00	0.92	0.95	0.90	0.78	0.75	0.94	1.00	0.95	1.00	1.00	1.00	0.94	0.60	0.93	0.95	1.00	0.96	1.00	0.51	0.96	1.00	1.00	1.00	0.92	0.86	0.74	1.00	1.00	1.00	1.00	1.00	0.91	0.79	1.00	1.00	0.95	0.93	0.75	0.49	1.00	1.00	1.00	0.83	1.00	
horses	1.00	0.44	0.94	1.00	1.00	1.00	1.00	1.00	0.92	0.97	0.94	0.94	1.00	0.77	0.96	1.00	0.87	1.00	0.97	1.00	0.96	0.96	1.00	1.00	0.96	1.00	0.94	0.92	0.93	1.00	0.62	1.00	1.00	0.93	0.94	0.97	1.00	0.95	0.96	0.90	0.96	0.94	0.74	1.00	0.87	0.87	0.96	1.00	1.00	0.96	0.92	0.94	0.74	0.86	1.00	0.69	0.87	1.00	0.86	0.96	0.96	0.91	0.90	1.00	1.00	1.00	0.97	1.00	1.00	0.97	0.96	1.00	0.93	0.93	0.98	0.89	1.00	0.97	1.00	0.92	0.89	
house	0.97	0.92	0.90	1.00	0.98	0.83	1.00	0.90	0.52	0.91	0.87	0.98	0.95	0.56	1.00	0.97	0.94	1.00	0.95	0.88	1.00	0.93	1.00	1.00	0.90	1.00	0.94	0.88	0.66	0.96	0.56	0.88	0.93	1.00	0.78	0.95	1.00	0.95	0.92	0.79	0.91	0.86	0.90	0.97	0.73	0.94	1.00	0.92	0.91	0.76	0.81	0.84	1.00	0.88	0.95	0.49	0.79	1.00	0.95	0.93	0.87	0.92	0.86	1.00	1.00	1.00	0.93	1.00	0.90	0.71	0.95	0.92	0.81	0.79	0.84	0.72	0.95	0.97	1.00	0.59	1.00	
lake	0.96	0.84	0.53	0.95	0.86	0.55	1.00	0.71	0.74	0.96	0.86	0.97	0.78	0.40	1.00	0.84	0.91	0.95	0.91	1.00	0.92	0.88	0.92	0.96	0.94	1.00	0.94	0.87	0.82	0.69	0.76	0.63	0.94	0.78	1.00	0.95	1.00	0.87	0.84	0.61	0.79	0.39	0.83	0.92	0.77	0.95	1.00	0.94	0.80	0.39	0.86	0.59	0.96	0.81	0.96	0.38	0.76	1.00	0.90	0.96	0.96	0.60	0.50	0.69	0.86	0.96	0.88	0.92	0.84	0.82	0.93	0.95	0.78	0.61	0.79	0.26	0.78	0.91	0.70	0.88	1.00	
leaf	1.00	0.72	0.94	0.88	0.87	0.95	1.00	0.96	0.95	1.00	1.00	0.90	1.00	0.89	1.00	0.93	0.92	0.96	0.92	1.00	0.90	1.00	0.97	1.00	0.64	0.89	0.90	0.86	0.83	0.96	0.80	1.00	0.97	0.95	0.95	1.00	1.00	0.97	1.00	0.96	0.96	0.94	0.90	1.00	0.64	1.00	1.00	1.00	1.00	0.94	0.93	0.92	1.00	0.96	1.00	0.84	0.95	1.00	1.00	0.93	0.96	0.94	0.96	1.00	1.00	1.00	0.96	0.89	1.00	0.97	0.92	1.00	0.90	0.97	1.00	0.82	0.93	0.95	1.00	0.95	1.00	
map	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.91	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.91	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	
military	0.61	0.96	0.95	1.00	1.00	0.88	0.95	0.95	0.89	0.93	0.92	0.97	0.96	0.63	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.86	1.00	0.92	1.00	1.00	1.00	0.96	0.96	1.00	0.82	0.92	0.95	0.95	0.87	0.97	1.00	1.00	0.93	0.93	0.95	0.81	0.65	0.45	0.95	0.76	0.92	1.00	0.93	0.94	0.82	0.94	0.93	0.91	0.97	0.58	0.92	1.00	0.96	1.00	0.97	0.94	0.92	1.00	0.96	0.94	0.97	1.00	1.00	0.96	0.95	0.95	0.96	0.94	0.69	0.79	1.00	0.94	1.00	0.80	0.93	
moon	0.96	0.89	0.91	1.00	0.92	0.95	1.00	0.89	0.81	1.00	0.95	1.00	0.84	0.62	1.00	1.00	1.00	0.96	0.97	1.00	0.96	0.91	1.00	1.00	0.95	1.00	1.00	1.00	0.97	1.00	0.90	0.95	0.96	0.92	0.84	1.00	1.00	0.93	1.00	0.88	0.72	0.84	0.93	0.87	0.93	1.00	1.00	0.96	1.00	0.87	0.92	0.94	1.00	0.94	0.95	0.52	0.90	1.00	1.00	0.94	0.97	0.75	0.82	1.00	1.00	1.00	0.93	1.00	0.87	0.92	0.97	0.96	0.87	0.88	0.97	0.79	1.00	1.00	1.00	0.90	1.00	
mountain	0.95	0.86	0.83	0.97	0.97	0.86	1.00	0.89	0.84	0.94	0.93	1.00	0.93	0.48	0.96	0.98	0.88	0.97	0.95	1.00	0.92	0.92	1.00	0.94	0.92	1.00	0.97	0.87	0.85	0.52	0.65	0.90	0.90	0.79	0.61	0.96	1.00	0.93	0.88	1.00	0.92	0.74	0.90	0.94	0.71	0.95	1.00	0.91	0.81	0.70	0.83	0.49	1.00	0.85	0.94	0.43	0.56	1.00	0.95	0.94	0.96	0.83	0.78	1.00	1.00	1.00	0.92	1.00	0.93	0.93	0.96	0.93	0.83	0.29	0.92	0.61	0.80	0.96	0.92	0.92	1.00	
nighttime	0.92	0.93	0.90	1.00	0.97	0.83	1.00	0.71	0.54	0.87	0.93	0.96	0.52	0.65	0.96	0.94	0.97	0.95	0.98	1.00	1.00	0.76	0.96	0.96	0.95	1.00	1.00	1.00	0.92	1.00	0.91	0.78	0.96	0.91	0.79	0.96	1.00	0.95	0.72	0.92	1.00	0.87	0.85	0.95	0.92	0.88	0.97	0.89	1.00	0.71	0.70	0.92	0.96	0.96	0.87	0.59	0.90	1.00	0.92	0.94	0.75	0.91	0.83	0.94	1.00	0.94	0.90	1.00	0.71	0.77	0.98	0.87	0.91	0.94	0.85	0.69	1.00	0.97	0.96	0.80	1.00	
